,HI10_100,HI10_150,HI100_150,Cycle_life
0,0.002163697092742556,0.010332337987097873,0.008168640894355317,1852.0
1,0.004188613251900453,0.01280635912598127,0.008617745874080818,2160.0
2,0.004241786717381402,0.012585554385373676,0.008343767667992275,2237.0
3,0.011217455041845348,0.0218016429224428,0.010584187880597451,1434.0
4,0.007987078215230703,0.017044191293614563,0.00905711307838386,1709.0
5,0.01870475670424554,0.02716956058625941,0.008464803882013872,1074.0
6,0.028447746742713775,0.05242581019365122,0.023978063450937448,636.0
7,0.028761478664793394,0.04781849798057225,0.019057019315778856,870.0
8,0.016819363757377026,0.03292572913843328,0.016106365381056253,1054.0
9,0.009990519522419472,0.02462314421272893,0.01463262469030946,788.0
10,0.01660328062748917,0.030934118895640683,0.014330838268151513,880.0
11,0.014868079362734044,0.030389998794853934,0.01552191943211989,719.0
12,0.018123648535060877,0.03228717292429062,0.014163524389229742,862.0
13,0.014397962082077775,0.028845914974053866,0.01444795289197609,857.0
14,0.4877400555250029,0.4545828027577201,0.03315725276728276,691.0
15,0.030218046043740454,0.05390502987951784,0.023686983835777387,788.0
16,0.07890909900294396,0.13374590015647092,0.05483680115352696,534.0
17,0.06473284626082787,0.10831196023606227,0.043579113975234396,559.0
18,0.02253645221254086,0.035119288989127195,0.012582836776586337,1014.0
19,0.021611832075860704,0.036356327321452664,0.01474449524559196,1017.0
20,0.020465740483667005,0.036225541308664955,0.01575980082499795,854.0
21,0.0306333121723803,0.04993540855830414,0.01930209638592384,870.0
22,0.026761147091199255,0.04495949016432066,0.018198343073121404,842.0
23,0.028233639087318796,0.04604241780436835,0.017808778717049556,860.0
24,0.027423301787508514,0.045407864702854184,0.01798456291534567,917.0
25,0.030819880722784188,0.053115874683757,0.022295993960972815,709.0
26,0.033433048147017974,0.05401306207581058,0.020580013928792606,876.0
27,0.03474924490945286,0.05760625389036855,0.022857008980915694,731.0
28,0.037544631240733484,0.06080547760669841,0.023260846365964927,757.0
29,0.025626970131003013,0.042371583312526884,0.01674461318152387,742.0
30,0.0284113709983016,0.04775740492096414,0.019346033922662542,703.0
31,0.03497782743216904,0.05668668355561923,0.021708856123450193,704.0
32,0.03281068812642918,0.05482485998365805,0.02201417185722887,648.0
33,0.04311986206086216,0.07063310126696543,0.027513239206103268,617.0
34,0.03847827148112337,0.06493625378533352,0.026457982304210148,625.0
35,0.021517782107078443,0.036755265835286544,0.015237483728208101,966.0
36,0.019913301903786707,0.033955236890935936,0.01404193498714923,1051.0
37,0.03214749128622163,0.05403352379071791,0.021886032504496278,702.0
38,0.03442855120837063,0.05527602772421503,0.0208474765158444,651.0
39,0.05093580484643301,0.07973007492198558,0.028794270075552575,616.0
40,0.04734240505119258,0.075031563076704,0.027689158025511418,599.0
41,0.167732223669105,0.3015368633765725,0.13380463970746748,300.0
42,0.30617157912800774,0.6298569959268732,0.3236854167988654,148.0
43,0.03172143422377305,0.08210691188395369,0.050385477660180644,438.0
44,0.12835953245127563,0.24221616726825124,0.11385663481697561,335.0
45,0.06670152713165933,0.12795353676277532,0.06125200963111599,444.0
46,0.035074463499992437,0.07170952272535658,0.03663505922536414,480.0
47,0.09798035121938753,0.17039777945523005,0.07241742823584252,511.0
48,0.04797421118963552,0.08996063667995369,0.04198642549031817,561.0
49,0.045755425425523466,0.0889246212613286,0.04316919583580514,477.0
50,0.08001436510472137,0.14239412830267684,0.06237976319795546,458.0
51,0.07734423616098285,0.13483594854105263,0.05749171238006978,483.0
52,0.03881560786485183,0.07334348568905469,0.03452787782420286,485.0
53,0.02925747255086364,0.06597820565454882,0.03672073310368518,494.0
54,0.04582555261493271,0.101694769527648,0.05586921691271529,487.0
55,0.07767600603085123,0.13035274617445491,0.052676740143603684,461.0
56,0.03449096825746922,0.07074055636773258,0.03624958811026335,502.0
57,0.0531867686544274,0.09537615269678046,0.04218938404235306,489.0
58,0.037465703778755355,0.07739983318398336,0.039934129405228,513.0
59,0.05426061656818826,0.09508758909909565,0.04082697253090739,527.0
60,0.02532406734629733,0.06694370850922571,0.04161964116292838,495.0
61,0.04186387413427406,0.09067655150080167,0.04881267736652761,461.0
62,0.04548460583092728,0.09713618798066692,0.05165158214973964,471.0
63,0.02937080136538528,0.06834431751682501,0.038973516151439735,468.0
64,0.022926089623036106,0.05218509214034839,0.029259002517312283,509.0
65,0.021531070566808364,0.048087756791604264,0.0265566862247959,498.0
66,0.027684839175259324,0.06205421898071295,0.034369379805453626,481.0
67,0.028092457747305843,0.05496005962953987,0.026867601882234027,492.0
68,0.02800145345354732,0.057009407005474966,0.029007953551927645,519.0
69,0.027349821076503744,0.05513220385697304,0.027782382780469295,520.0
70,0.022624203277813226,0.04541014852485992,0.02278594524704669,499.0
71,0.037905247395619845,0.07479321414457685,0.036887966748957,463.0
72,0.028959692168885276,0.057123618940891685,0.02816392677200641,535.0
73,0.029937245890265807,0.060504735194157444,0.030567489303891637,478.0
74,0.03442089255375036,0.06858940788168866,0.0341685153279383,465.0
